date,tournament,season,team_a,score_a,team_b,score_b,neutral,tier
2006-08-26,FIBA World Cup,2006,ARG,79,NZL,62,True,1.0
2006-08-26,FIBA World Cup,2006,ESP,87,SCG,75,True,1.0
2006-08-26,FIBA World Cup,2006,ITA,68,LTU,71,True,1.0
2006-08-26,FIBA World Cup,2006,TUR,90,SVN,84,True,1.0
2006-08-27,FIBA World Cup,2006,FRA,68,ANG,62,True,1.0
2006-08-27,FIBA World Cup,2006,GER,78,NGA,77,True,1.0
2006-08-27,FIBA World Cup,2006,GRE,95,CHN,64,True,1.0
2006-08-27,FIBA World Cup,2006,USA,113,AUS,73,True,1.0
2006-08-29,FIBA World Cup,2006,ARG,83,TUR,58,True,1.0
2006-08-29,FIBA World Cup,2006,ESP,89,LTU,67,True,1.0
2006-08-30,FIBA World Cup,2006,GRE,73,FRA,56,True,1.0
2006-08-30,FIBA World Cup,2006,USA,85,GER,65,True,1.0
2006-08-31,FIBA World Cup,2006,FRA,75,GER,73,True,1.0
2006-08-31,FIBA World Cup,2006,LTU,84,TUR,95,True,1.0
2006-09-02,FIBA World Cup,2006,TUR,56,FRA,64,True,1.0
2006-09-03,FIBA World Cup,2006,LTU,77,GER,62,True,1.0
2011-08-17,FIBA AfroBasket,2011,CIV,105,RSA,53,True,0.7
2011-08-17,FIBA AfroBasket,2011,CMR,96,EGY,81,True,0.7
2011-08-17,FIBA AfroBasket,2011,MAD,67,MOZ,77,True,0.7
2011-08-17,FIBA AfroBasket,2011,NGR,84,MLI,59,True,0.7
2011-08-18,FIBA AfroBasket,2011,ANG,115,CHA,56,True,0.7
2011-08-18,FIBA AfroBasket,2011,CAF,89,RWA,61,True,0.7
2011-08-18,FIBA AfroBasket,2011,MAR,65,SEN,79,True,0.7
2011-08-18,FIBA AfroBasket,2011,TUN,103,TOG,56,True,0.7
2011-08-19,FIBA AfroBasket,2011,CIV,75,EGY,82,True,0.7
2011-08-19,FIBA AfroBasket,2011,MAD,63,MLI,74,True,0.7
2011-08-19,FIBA AfroBasket,2011,MOZ,63,NGR,78,True,0.7
2011-08-19,FIBA AfroBasket,2011,RSA,65,CMR,87,True,0.7
2011-08-20,FIBA AfroBasket,2011,ANG,78,SEN,85,True,0.7
2011-08-20,FIBA AfroBasket,2011,CHA,57,MAR,89,True,0.7
2011-08-20,FIBA AfroBasket,2011,TOG,57,CAF,82,True,0.7
2011-08-20,FIBA AfroBasket,2011,TUN,69,RWA,37,True,0.7
2011-08-21,FIBA AfroBasket,2011,CMR,76,CIV,70,True,0.7
2011-08-21,FIBA AfroBasket,2011,EGY,68,RSA,71,True,0.7
2011-08-21,FIBA AfroBasket,2011,MLI,72,MOZ,69,True,0.7
2011-08-21,FIBA AfroBasket,2011,NGR,112,MAD,81,True,0.7
2011-08-22,FIBA AfroBasket,2011,CAF,52,TUN,65,True,0.7
2011-08-22,FIBA AfroBasket,2011,MAR,61,ANG,75,True,0.7
2011-08-22,FIBA AfroBasket,2011,RWA,87,TOG,67,True,0.7
2011-08-22,FIBA AfroBasket,2011,SEN,92,CHA,54,True,0.7
2011-08-23,FIBA AfroBasket,2011,ANG,82,MOZ,71,True,0.7
2011-08-23,FIBA AfroBasket,2011,CAF,71,EGY,66,True,0.7
2011-08-23,FIBA AfroBasket,2011,CMR,85,TOG,52,True,0.7
2011-08-23,FIBA AfroBasket,2011,NGR,84,CHA,46,True,0.7
2011-08-24,FIBA AfroBasket,2011,CIV,80,RWA,72,True,0.7
2011-08-24,FIBA AfroBasket,2011,MLI,59,MAR,80,True,0.7
2011-08-24,FIBA AfroBasket,2011,SEN,92,MAD,75,True,0.7
2011-08-24,FIBA AfroBasket,2011,TUN,94,RSA,50,True,0.7
2011-08-25,FIBA AfroBasket,2011,CMR,83,ANG,84,True,0.7
2011-08-25,FIBA AfroBasket,2011,EGY,76,RWA,66,True,0.7
2011-08-25,FIBA AfroBasket,2011,MLI,61,MOZ,55,True,0.7
2011-08-25,FIBA AfroBasket,2011,NGR,94,CAF,86,True,0.7
2011-08-25,FIBA AfroBasket,2011,RSA,61,MAD,82,True,0.7
2011-08-25,FIBA AfroBasket,2011,SEN,59,CIV,75,True,0.7
2011-08-25,FIBA AfroBasket,2011,TOG,62,CHA,63,True,0.7
2011-08-25,FIBA AfroBasket,2011,TUN,86,MAR,67,True,0.7
2011-08-26,FIBA AfroBasket,2011,CAF,20,CMR,0,True,0.7
2011-08-26,FIBA AfroBasket,2011,SEN,96,MAR,75,True,0.7
2011-08-27,FIBA AfroBasket,2011,CAF,71,SEN,93,True,0.7
2011-08-27,FIBA AfroBasket,2011,CIV,57,TUN,60,True,0.7
2011-08-27,FIBA AfroBasket,2011,CMR,69,MAR,67,True,0.7
2011-08-27,FIBA AfroBasket,2011,NGA,68,ANG,76,True,0.7
2011-08-28,FIBA AfroBasket,2011,ANG,56,TUN,67,True,0.7
2011-08-28,FIBA AfroBasket,2011,NGA,77,CIV,67,True,0.7
2011-08-31,EuroBasket,2011,BEL,59,GEO,81,True,0.7
2011-08-31,EuroBasket,2011,CRO,84,FIN,79,True,0.7
2011-08-31,EuroBasket,2011,ESP,83,POL,78,True,0.7
2011-08-31,EuroBasket,2011,FRA,89,LAT,78,True,0.7
2011-08-31,EuroBasket,2011,GER,91,ISR,64,True,0.7
2011-08-31,EuroBasket,2011,GRE,76,BIH,67,True,0.7
2011-08-31,EuroBasket,2011,MNE,70,MKD,65,True,0.7
2011-08-31,EuroBasket,2011,RUS,73,UKR,64,True,0.7
2011-08-31,EuroBasket,2011,SLO,67,BUL,59,True,0.7
2011-08-31,EuroBasket,2011,SRB,80,ITA,68,True,0.7
2011-08-31,EuroBasket,2011,TUR,79,POR,56,True,0.7
2011-09-01,EuroBasket,2011,BIH,94,MNE,86,True,0.7
2011-09-01,EuroBasket,2011,BUL,68,BEL,65,True,0.7
2011-09-01,EuroBasket,2011,FIN,61,GRE,81,True,0.7
2011-09-01,EuroBasket,2011,GEO,58,RUS,65,True,0.7
2011-09-01,EuroBasket,2011,ISR,68,FRA,85,True,0.7
2011-09-01,EuroBasket,2011,ITA,62,GER,76,True,0.7
2011-09-01,EuroBasket,2011,LAT,77,SRB,92,True,0.7
2011-09-01,EuroBasket,2011,MKD,78,CRO,76,True,0.7
2011-09-01,EuroBasket,2011,UKR,64,SLO,68,True,0.7
2011-09-02,EuroBasket,2011,FRA,76,GER,65,True,0.7
2011-09-02,EuroBasket,2011,LAT,62,ITA,71,True,0.7
2011-09-02,EuroBasket,2011,SRB,89,ISR,80,True,0.7
2011-09-03,EuroBasket,2011,CRO,87,MNE,81,True,0.7
2011-09-03,EuroBasket,2011,FIN,92,BIH,64,True,0.7
2011-09-03,EuroBasket,2011,GRE,58,MKD,72,True,0.7
2011-09-03,EuroBasket,2011,RUS,79,BEL,58,True,0.7
2011-09-03,EuroBasket,2011,SLO,87,GEO,75,True,0.7
2011-09-03,EuroBasket,2011,UKR,67,BUL,56,True,0.7
2011-09-04,EuroBasket,2011,BEL,61,SLO,70,True,0.7
2011-09-04,EuroBasket,2011,BIH,92,CRO,80,True,0.7
2011-09-04,EuroBasket,2011,BUL,77,RUS,89,True,0.7
2011-09-04,EuroBasket,2011,GEO,69,UKR,53,True,0.7
2011-09-04,EuroBasket,2011,GER,64,SRB,75,True,0.7
2011-09-04,EuroBasket,2011,ISR,91,LAT,88,True,0.7
2011-09-04,EuroBasket,2011,ITA,84,FRA,91,True,0.7
2011-09-04,EuroBasket,2011,MKD,72,FIN,70,True,0.7
2011-09-04,EuroBasket,2011,MNE,55,GRE,71,True,0.7
2011-09-05,EuroBasket,2011,FIN,71,MNE,65,True,0.7
2011-09-05,EuroBasket,2011,GEO,69,BUL,79,True,0.7
2011-09-05,EuroBasket,2011,GRE,74,CRO,69,True,0.7
2011-09-05,EuroBasket,2011,ISR,96,ITA,95,True,0.7
2011-09-05,EuroBasket,2011,LAT,80,GER,81,True,0.7
2011-09-05,EuroBasket,2011,MKD,75,BIH,63,True,0.7
2011-09-05,EuroBasket,2011,SLO,64,RUS,65,True,0.7
2011-09-05,EuroBasket,2011,SRB,96,FRA,97,True,0.7
2011-09-05,EuroBasket,2011,UKR,74,BEL,61,True,0.7
2011-09-07,EuroBasket,2011,GER,68,ESP,77,True,0.7
2011-09-07,EuroBasket,2011,SRB,90,LTU,100,True,0.7
2011-09-07,EuroBasket,2011,TUR,64,FRA,68,True,0.7
2011-09-08,EuroBasket,2011,FIN,60,RUS,79,True,0.7
2011-09-08,EuroBasket,2011,GEO,63,MKD,65,True,0.7
2011-09-08,EuroBasket,2011,SVN,60,GRE,69,True,0.7
2011-09-09,EuroBasket,2011,ESP,84,SRB,59,True,0.7
2011-09-09,EuroBasket,2011,GER,73,TUR,67,True,0.7
2011-09-09,EuroBasket,2011,LTU,67,FRA,73,True,0.7
2011-09-10,EuroBasket,2011,GEO,73,FIN,87,True,0.7
2011-09-10,EuroBasket,2011,GRE,67,RUS,83,True,0.7
2011-09-10,EuroBasket,2011,MKD,68,SVN,59,True,0.7
2011-09-11,EuroBasket,2011,FRA,69,ESP,96,True,0.7
2011-09-11,EuroBasket,2011,LTU,84,GER,75,True,0.7
2011-09-11,EuroBasket,2011,SRB,68,TUR,67,True,0.7
2011-09-12,EuroBasket,2011,GRE,73,GEO,60,True,0.7
2011-09-12,EuroBasket,2011,RUS,63,MKD,61,True,0.7
2011-09-12,EuroBasket,2011,SVN,67,FIN,60,True,0.7
2012-07-29,Olympics,2012,ARG,102,LTU,79,True,1.0
2012-07-29,Olympics,2012,BRA,75,AUS,71,True,1.0
2012-07-29,Olympics,2012,ESP,97,CHN,81,True,1.0
2012-07-29,Olympics,2012,NGR,60,TUN,56,True,1.0
2012-07-29,Olympics,2012,RUS,95,GBR,75,True,1.0
2012-07-31,Olympics,2012,AUS,70,ESP,82,True,1.0
2012-07-31,Olympics,2012,CHN,54,RUS,73,True,1.0
2012-07-31,Olympics,2012,FRA,71,ARG,64,True,1.0
2012-07-31,Olympics,2012,GBR,62,BRA,67,True,1.0
2012-07-31,Olympics,2012,LTU,72,NGR,53,True,1.0
2012-08-02,Olympics,2012,ARG,92,TUN,69,True,1.0
2012-08-02,Olympics,2012,AUS,81,CHN,61,True,1.0
2012-08-02,Olympics,2012,BRA,74,RUS,75,True,1.0
2012-08-02,Olympics,2012,ESP,79,GBR,78,True,1.0
2012-08-02,Olympics,2012,FRA,82,LTU,74,True,1.0
2012-08-04,Olympics,2012,CHN,59,BRA,98,True,1.0
2012-08-04,Olympics,2012,GBR,75,AUS,106,True,1.0
2012-08-04,Olympics,2012,NGR,79,ARG,93,True,1.0
2012-08-04,Olympics,2012,RUS,77,ESP,74,True,1.0
2012-08-04,Olympics,2012,TUN,69,FRA,73,True,1.0
2012-08-06,Olympics,2012,AUS,82,RUS,80,True,1.0
2012-08-06,Olympics,2012,ESP,82,BRA,88,True,1.0
2012-08-06,Olympics,2012,FRA,79,NGR,73,True,1.0
2012-08-06,Olympics,2012,GBR,90,CHN,58,True,1.0
